IP,NAMESERVER,Query time,Msg size,Actual Frequency [%],Max msg size,min msg size,avg msg size
58.247.212.119,f1g1ns2.dnspod.net,253msec,229,0.731315950117855,,,
111.161.57.81,f1g1ns2.dnspod.net,311msec,229,0.731403156885101,,,
14.215.155.156,f1g1ns1.dnspod.net,100msec,229,0.731490363652346,,,
14.215.155.170,f1g1ns1.dnspod.net,156msec,229,0.731577570419591,,,
14.215.150.17,f1g1ns1.dnspod.net,231msec,229,0.731664777186836,,,
111.161.57.77,f1g1ns1.dnspod.net,201msec,229,0.731751983954081,,,
14.215.155.156,f1g1ns1.dnspod.net,100msec,229,0.731839190721326,,,
14.215.155.170,f1g1ns1.dnspod.net,94msec,229,0.731926397488572,,,
14.215.150.17,f1g1ns1.dnspod.net,97msec,229,0.732013604255817,,,
111.161.57.77,f1g1ns1.dnspod.net,315msec,229,0.732100811023062,,,
14.215.155.203,f1g1ns2.dnspod.net,119msec,229,0.732188017790307,,,
58.247.212.48,f1g1ns2.dnspod.net,325msec,229,0.732275224557552,,,
58.247.212.119,f1g1ns2.dnspod.net,339msec,229,0.732362431324797,,,
111.161.57.81,f1g1ns2.dnspod.net,268msec,229,0.732449638092043,,,
14.215.155.156,f1g1ns1.dnspod.net,216msec,229,0.732536844859288,,,
14.215.155.170,f1g1ns1.dnspod.net,228msec,229,0.732624051626533,,,
14.215.150.17,f1g1ns1.dnspod.net,213msec,229,0.732711258393778,,,
111.161.57.77,f1g1ns1.dnspod.net,276msec,229,0.732798465161023,,,
14.215.155.203,f1g1ns2.dnspod.net,163msec,229,0.732885671928268,,,
58.247.212.48,f1g1ns2.dnspod.net,230msec,229,0.732972878695514,,,
58.247.212.119,f1g1ns2.dnspod.net,240msec,229,0.733060085462759,,,
111.161.57.81,f1g1ns2.dnspod.net,305msec,229,0.733147292230004,,,
14.215.155.156,f1g1ns1.dnspod.net,254msec,229,0.733234498997249,,,
14.215.155.170,f1g1ns1.dnspod.net,95msec,229,0.733321705764494,,,
14.215.150.17,f1g1ns1.dnspod.net,164msec,229,0.733408912531739,,,
111.161.57.77,f1g1ns1.dnspod.net,205msec,229,0.733496119298984,,,
14.215.155.203,f1g1ns2.dnspod.net,240msec,229,0.73358332606623,,,
58.247.212.48,f1g1ns2.dnspod.net,324msec,229,0.733670532833475,,,
58.247.212.119,f1g1ns2.dnspod.net,243msec,229,0.73375773960072,,,
111.161.57.81,f1g1ns2.dnspod.net,221msec,229,0.733844946367965,,,
14.215.155.156,f1g1ns1.dnspod.net,131msec,229,0.73393215313521,,,
14.215.155.170,f1g1ns1.dnspod.net,157msec,229,0.734019359902455,,,
14.215.150.17,f1g1ns1.dnspod.net,142msec,229,0.734106566669701,,,
111.161.57.77,f1g1ns1.dnspod.net,259msec,229,0.734193773436946,,,
14.215.155.203,f1g1ns2.dnspod.net,151msec,229,0.734280980204191,,,
58.247.212.48,f1g1ns2.dnspod.net,240msec,229,0.734368186971436,,,
58.247.212.119,f1g1ns2.dnspod.net,308msec,229,0.734455393738681,,,
111.161.57.81,f1g1ns2.dnspod.net,326msec,229,0.734542600505926,,,
111.161.57.81,f1g1ns2.dnspod.net,198msec,229,0.734629807273172,,,
14.215.155.203,f1g1ns2.dnspod.net,173msec,229,0.734717014040417,,,
58.247.212.48,f1g1ns2.dnspod.net,348msec,229,0.734804220807662,,,
58.247.212.119,f1g1ns2.dnspod.net,338msec,229,0.734891427574907,,,
111.161.57.77,f1g1ns1.dnspod.net,229msec,229,0.734978634342152,,,
14.215.155.156,f1g1ns1.dnspod.net,222msec,229,0.735065841109397,,,
14.215.155.170,f1g1ns1.dnspod.net,133msec,229,0.735153047876643,,,
14.215.150.17,f1g1ns1.dnspod.net,215msec,229,0.735240254643888,,,
14.215.155.203,f1g1ns2.dnspod.net,151msec,229,0.735327461411133,,,
58.247.212.48,f1g1ns2.dnspod.net,242msec,229,0.735414668178378,,,
58.247.212.119,f1g1ns2.dnspod.net,254msec,229,0.735501874945623,,,
111.161.57.81,f1g1ns2.dnspod.net,197msec,229,0.735589081712868,,,
14.215.155.156,f1g1ns1.dnspod.net,149msec,229,0.735676288480114,,,
14.215.155.170,f1g1ns1.dnspod.net,148msec,229,0.735763495247359,,,
14.215.150.17,f1g1ns1.dnspod.net,232msec,229,0.735850702014604,,,
111.161.57.77,f1g1ns1.dnspod.net,244msec,229,0.735937908781849,,,
14.215.155.156,f1g1ns1.dnspod.net,153msec,229,0.736025115549094,,,
14.215.155.170,f1g1ns1.dnspod.net,219msec,229,0.736112322316339,,,
14.215.150.17,f1g1ns1.dnspod.net,215msec,229,0.736199529083585,,,
111.161.57.77,f1g1ns1.dnspod.net,229msec,229,0.73628673585083,,,
14.215.155.203,f1g1ns2.dnspod.net,218msec,229,0.736373942618075,,,
58.247.212.48,f1g1ns2.dnspod.net,368msec,229,0.73646114938532,,,
58.247.212.119,f1g1ns2.dnspod.net,320msec,229,0.736548356152565,,,
111.161.57.81,f1g1ns2.dnspod.net,215msec,229,0.73663556291981,,,
111.161.57.81,f1g1ns2.dnspod.net,258msec,229,0.736722769687056,,,
14.215.155.203,f1g1ns2.dnspod.net,144msec,229,0.736809976454301,,,
58.247.212.48,f1g1ns2.dnspod.net,348msec,229,0.736897183221546,,,
58.247.212.119,f1g1ns2.dnspod.net,349msec,229,0.736984389988791,,,
111.161.57.77,f1g1ns1.dnspod.net,211msec,229,0.737071596756036,,,
14.215.155.156,f1g1ns1.dnspod.net,222msec,229,0.737158803523281,,,
14.215.155.170,f1g1ns1.dnspod.net,221msec,229,0.737246010290527,,,
14.215.150.17,f1g1ns1.dnspod.net,219msec,229,0.737333217057772,,,
14.215.155.203,f1g1ns2.dnspod.net,255msec,229,0.737420423825017,,,
58.247.212.48,f1g1ns2.dnspod.net,350msec,229,0.737507630592262,,,
58.247.212.119,f1g1ns2.dnspod.net,339msec,229,0.737594837359507,,,
111.161.57.81,f1g1ns2.dnspod.net,398msec,229,0.737682044126752,,,
14.215.155.156,f1g1ns1.dnspod.net,219msec,229,0.737769250893997,,,
14.215.155.170,f1g1ns1.dnspod.net,241msec,229,0.737856457661243,,,
14.215.150.17,f1g1ns1.dnspod.net,166msec,229,0.737943664428488,,,
111.161.57.77,f1g1ns1.dnspod.net,297msec,229,0.738030871195733,,,
14.215.155.156,f1g1ns1.dnspod.net,256msec,229,0.738118077962978,,,
14.215.155.170,f1g1ns1.dnspod.net,130msec,229,0.738205284730223,,,
14.215.150.17,f1g1ns1.dnspod.net,223msec,229,0.738292491497468,,,
111.161.57.77,f1g1ns1.dnspod.net,206msec,229,0.738379698264714,,,
14.215.155.203,f1g1ns2.dnspod.net,242msec,229,0.738466905031959,,,
58.247.212.48,f1g1ns2.dnspod.net,328msec,229,0.738554111799204,,,
58.247.212.119,f1g1ns2.dnspod.net,349msec,229,0.738641318566449,,,
